pc16,cmd,name,cmd_byte,param,byte1,byte2,format
0x0000,cmd00,cmd00_write_param16_to_reg16,0,0,0,0,cmd00_write_param16_to_reg16(/*param16*/ 0x0000)
0x0003,cmd01,cmd01_store_reg16_to_tape_addr,2,13231,175,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33af)
0x0006,cmd01,cmd01_store_reg16_to_tape_addr,2,13235,179,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b3)
0x0009,cmd01,cmd01_store_reg16_to_tape_addr,2,13236,180,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b4)
0x000c,cmd01,cmd01_store_reg16_to_tape_addr,2,13238,182,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b6)
0x000f,cmd04,cmd04_sum_reg16_param16_to_reg16,8,1,1,0,cmd04_sum_reg16_param16_to_reg16(/*param16*/ 0x0001)
0x0012,cmd01,cmd01_store_reg16_to_tape_addr,2,13239,183,51,cmd01_store_reg16_to_tape_addr(/*addr16*/ 0x33b7)
0x0015,cmd00,cmd00_write_param16_to_reg16,0,3212,140,12,cmd00_write_param16_to_reg16(/*param16*/ 0x0c8c)
0x0018,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0019,cmd00,cmd00_write_param16_to_reg16,0,3362,34,13,cmd00_write_param16_to_reg16(/*param16*/ 0x0d22)
0x001c,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x001d,cmd15,cmd15_stack_preserve_call,30,2992,176,11,cmd15_stack_preserve_call(/*addr16*/ 0x0bb0)
0x0020,cmd06,cmd06_check_reg16_is_param16,12,0,0,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0000)
0x0023,cmd13,cmd13_beq,26,906,138,3,cmd13_beq(/*addr16*/ 0x038a)
0x0026,cmd06,cmd06_check_reg16_is_param16,12,2,2,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0002)
0x0029,cmd13,cmd13_beq,26,89,89,0,cmd13_beq(/*addr16*/ 0x0059)
0x002c,cmd06,cmd06_check_reg16_is_param16,12,1,1,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0001)
0x002f,cmd13,cmd13_beq,26,1130,106,4,cmd13_beq(/*addr16*/ 0x046a)
0x0032,cmd06,cmd06_check_reg16_is_param16,12,3,3,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0003)
0x0035,cmd13,cmd13_beq,26,362,106,1,cmd13_beq(/*addr16*/ 0x016a)
0x0038,cmd06,cmd06_check_reg16_is_param16,12,5,5,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0005)
0x003b,cmd13,cmd13_beq,26,68,68,0,cmd13_beq(/*addr16*/ 0x0044)
0x003e,cmd15,cmd15_stack_preserve_call,30,2757,197,10,cmd15_stack_preserve_call(/*addr16*/ 0x0ac5)
0x0041,cmd12,cmd12_goto,24,29,29,0,cmd12_goto(/*addr16*/ 0x001d)
0x0044,cmd17,cmd17_push_reg16_to_stack,34,-1,-1,-1,cmd17_push_reg16_to_stack()
0x0045,cmd00,cmdl00_write_param16_to_reg16,1,13235,179,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33b3)
